"AGE","SEX","MARRIED","PROPERTY_COMPEN","PARENT_INC","COLLEGE","VIOLENT","STRIKE","FORCE","AGE_SQUARE"
37,1,1,1,"2","0",0,1,1,1369
30,1,1,1,"2","0",0,1,1,900
41,0,1,0,"3","0",0,1,0,1681
36,0,1,0,"3","0",0,1,0,1296
41,1,1,1,"3","0",1,1,0,1681
38,1,1,1,"2","0",1,1,0,1444
46,1,1,1,"1","0",0,1,1,2116
41,0,1,1,"3","0",0,1,1,1681
44,0,1,1,"4","0",1,1,0,1936
36,0,1,1,"2","0",1,1,0,1296
35,0,1,1,"2","0",1,1,0,1225
39,1,1,1,"2","0",1,1,0,1521
46,1,1,1,"3","0",0,1,1,2116
41,1,1,1,"3","0",0,1,1,1681
32,0,1,0,"3","0",0,0,0,1024
38,1,1,1,"3","1",0,1,0,1444
42,1,1,1,"4","0",0,1,0,1764
41,0,1,1,"2","0",0,1,0,1681
42,0,1,1,"4","0",0,1,1,1764
31,1,0,1,"3","1",0,1,1,961
30,1,0,1,"2","0",0,0,1,900
27,1,0,1,"2","0",0,0,1,729
46,0,1,1,"2","0",0,1,0,2116
40,1,1,1,"3","1",0,0,1,1600
39,1,1,1,"3","0",0,0,1,1521
36,1,1,1,"2","0",0,0,1,1296
33,1,1,1,"3","0",0,0,1,1089
27,0,0,1,"2","0",0,0,1,729
24,1,0,1,"2","0",0,0,1,576
46,1,1,1,"4","0",0,1,1,2116
34,0,1,1,"2","0",0,1,1,1156
24,0,0,1,"1","0",0,1,1,576
37,0,1,1,"2","0",0,0,0,1369
28,0,1,1,"4","1",0,0,0,784
34,1,0,1,"4","0",0,0,0,1156
30,0,1,1,"2","0",0,0,0,900
29,0,1,1,"1","0",0,0,0,841
27,0,1,1,"3","1",0,0,0,729
23,1,0,1,"1","1",0,0,0,529
45,0,1,0,"3","0",1,1,0,2025
44,0,1,0,"3","0",1,1,0,1936
41,0,1,0,"3","0",1,1,0,1681
42,1,1,1,"3","0",0,0,0,1764
43,1,1,0,"3","0",0,0,1,1849
43,0,1,0,"3","0",0,0,1,1849
36,1,1,1,"2","0",0,0,0,1296
22,0,0,1,"1","0",0,0,0,484
45,0,1,0,"2","0",0,0,0,2025
